강수분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 청주
기간 : 1995~2024 01~12

년월,지점,강수량(mm)
2019-04,131,60.8
2019-05,131,20.3
2019-06,131,82.5
2019-07,131,204.8
2019-08,131,80.5
2019-09,131,155.1
2019-10,131,84.3
2019-11,131,104.9
2019-12,131,20.1
2020-01,131,62
2020-02,131,62.7
2020-03,131,22.9
2020-04,131,15.7
2020-05,131,65.3
2020-06,131,145.9
2020-07,131,386.6
2020-08,131,385.8
2020-09,131,160.6
2020-10,131,5.8
2020-11,131,41
2020-12,131,4.3
2021-01,131,12.7
2021-02,131,7.5
2021-03,131,76.6
2021-04,131,46.4
2021-05,131,136.4
2021-06,131,75.4
2021-07,131,138.1
2021-08,131,233.1
2021-09,131,185
2021-10,131,29.4
2021-11,131,57.3
2021-12,131,3.7
2022-01,131,1.4
2022-02,131,2.4
2022-03,131,59
2022-04,131,45.2
2022-05,131,9.1
2022-06,131,129.6
2022-07,131,171.7
2022-08,131,519.4
2022-09,131,116
2022-10,131,105.9
2022-11,131,56.7
2022-12,131,20
2023-01,131,28
2023-02,131,2.8
2023-03,131,18.8
2023-04,131,30.1
2023-05,131,202.4
2023-06,131,100.5
2023-07,131,698.5
2023-08,131,297.7
2023-09,131,270.6
2023-10,131,17.4
2023-11,131,41.5
2023-12,131,97.3
2024-01,131,37.2
2024-02,131,79.1
2024-03,131,37.9
2024-04,131,49.1
2024-05,131,122.7
2024-06,131,84.7
2024-07,131,520.6
2024-08,131,113.1
2024-09,131,328
2024-10,131,112.7
2024-11,131,41.2
2024-12,131,8.6
