강수분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 금산
기간 : 1995~2024 01~12

년월,지점,강수량(mm)
2019-11,238,47.9
2019-12,238,33
2020-01,238,80.8
2020-02,238,83.9
2020-03,238,20.5
2020-04,238,35.6
2020-05,238,80.5
2020-06,238,234
2020-07,238,628
2020-08,238,373.4
2020-09,238,167.2
2020-10,238,4.1
2020-11,238,41.9
2020-12,238,8.3
2021-01,238,23.5
2021-02,238,19.3
2021-03,238,88
2021-04,238,39.3
2021-05,238,162.7
2021-06,238,105.6
2021-07,238,300.8
2021-08,238,297.2
2021-09,238,151.9
2021-10,238,44
2021-11,238,50.7
2021-12,238,7.1
2022-01,238,1.5
2022-02,238,4.1
2022-03,238,80.6
2022-04,238,63.3
2022-05,238,4.7
2022-06,238,145.4
2022-07,238,183.7
2022-08,238,265.7
2022-09,238,68.2
2022-10,238,59.3
2022-11,238,54.2
2022-12,238,18
2023-01,238,28.7
2023-02,238,8.7
2023-03,238,22
2023-04,238,46.1
2023-05,238,211.5
2023-06,238,196.9
2023-07,238,624.5
2023-08,238,248.7
2023-09,238,218.5
2023-10,238,7.6
2023-11,238,60
2023-12,238,127.7
2024-01,238,54.3
2024-02,238,95.7
2024-03,238,72.7
2024-04,238,46.4
2024-05,238,83.2
2024-06,238,119.7
2024-07,238,501.5
2024-08,238,56.7
2024-09,238,264.8
2024-10,238,81
2024-11,238,32.7
2024-12,238,7.5
