강수분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 제천
기간 : 1995~2024 01~12

년월,지점,강수량(mm)
2019-09,221,164.5
2019-10,221,66.9
2019-11,221,81
2019-12,221,19.7
2020-01,221,68.1
2020-02,221,57.4
2020-03,221,14.4
2020-04,221,28.9
2020-05,221,130.1
2020-06,221,78.6
2020-07,221,317.5
2020-08,221,685.8
2020-09,221,134.1
2020-10,221,12.4
2020-11,221,13.4
2020-12,221,11.1
2021-01,221,18.2
2021-02,221,12.2
2021-03,221,100.1
2021-04,221,104
2021-05,221,157.8
2021-06,221,81.6
2021-07,221,223.1
2021-08,221,174.9
2021-09,221,209.2
2021-10,221,26.6
2021-11,221,48
2021-12,221,6.5
2022-01,221,3
2022-02,221,6.8
2022-03,221,88.3
2022-04,221,40.5
2022-05,221,7.5
2022-06,221,273.9
2022-07,221,310.9
2022-08,221,485.3
2022-09,221,93.7
2022-10,221,87.1
2022-11,221,60
2022-12,221,19.6
2023-01,221,32.6
2023-02,221,2.2
2023-03,221,14
2023-04,221,48.6
2023-05,221,167.1
2023-06,221,231.3
2023-07,221,605.3
2023-08,221,240.9
2023-09,221,234.6
2023-10,221,33.8
2023-11,221,49.8
2023-12,221,105.5
2024-01,221,24.8
2024-02,221,78.9
2024-03,221,52.2
2024-04,221,54.7
2024-05,221,128.7
2024-06,221,171.7
2024-07,221,467.8
2024-08,221,99.1
2024-09,221,195.6
2024-10,221,114.1
2024-11,221,42.1
2024-12,221,3.1
