강수분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 대전
기간 : 1995~2024 01~12

년월,지점,강수량(mm)
2019-03,133,33.7
2019-04,133,91.6
2019-05,133,35.6
2019-06,133,77.9
2019-07,133,199
2019-08,133,104.3
2019-09,133,167
2019-10,133,106.1
2019-11,133,94
2019-12,133,27
2020-01,133,78.5
2020-02,133,91.2
2020-03,133,24.4
2020-04,133,17.8
2020-05,133,80.4
2020-06,133,192.5
2020-07,133,544.9
2020-08,133,361.6
2020-09,133,173.6
2020-10,133,3.2
2020-11,133,41.8
2020-12,133,4.1
2021-01,133,23.6
2021-02,133,14.1
2021-03,133,95.2
2021-04,133,47.4
2021-05,133,134.2
2021-06,133,105.9
2021-07,133,151.8
2021-08,133,289.2
2021-09,133,161.2
2021-10,133,40.8
2021-11,133,41.7
2021-12,133,4.4
2022-01,133,1.2
2022-02,133,1.4
2022-03,133,74
2022-04,133,69.7
2022-05,133,8.1
2022-06,133,117.6
2022-07,133,195
2022-08,133,496.1
2022-09,133,90.2
2022-10,133,89.3
2022-11,133,45.8
2022-12,133,14.7
2023-01,133,28.4
2023-02,133,5.4
2023-03,133,23.8
2023-04,133,54.5
2023-05,133,192.9
2023-06,133,147.5
2023-07,133,776.3
2023-08,133,326.9
2023-09,133,310.2
2023-10,133,12.2
2023-11,133,40.3
2023-12,133,124.1
2024-01,133,47.8
2024-02,133,93.9
2024-03,133,57.9
2024-04,133,32.7
2024-05,133,126.8
2024-06,133,76.9
2024-07,133,485.1
2024-08,133,87.3
2024-09,133,204.6
2024-10,133,109.2
2024-11,133,34.6
2024-12,133,3.7
