강수분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 추풍령
기간 : 1995~2024 01~12

년월,지점,강수량(mm)
2019-02,135,31.1
2019-03,135,33.5
2019-04,135,91.7
2019-05,135,46.3
2019-06,135,116.5
2019-07,135,185.4
2019-08,135,218.1
2019-09,135,191.8
2019-10,135,179.4
2019-11,135,35.4
2019-12,135,27.2
2020-01,135,71
2020-02,135,68.2
2020-03,135,21
2020-04,135,39.7
2020-05,135,65.3
2020-06,135,182.8
2020-07,135,499.3
2020-08,135,333.5
2020-09,135,226.8
2020-10,135,5
2020-11,135,38.3
2020-12,135,3.1
2021-01,135,18.2
2021-02,135,14.8
2021-03,135,83.8
2021-04,135,43.8
2021-05,135,165.7
2021-06,135,50.8
2021-07,135,217.1
2021-08,135,285.6
2021-09,135,161.2
2021-10,135,41
2021-11,135,43.9
2021-12,135,3.2
2022-01,135,3.4
2022-02,135,2.3
2022-03,135,71.2
2022-04,135,57
2022-05,135,4.7
2022-06,135,98.5
2022-07,135,189.1
2022-08,135,272.6
2022-09,135,117.1
2022-10,135,62.5
2022-11,135,38.7
2022-12,135,11.5
2023-01,135,23.4
2023-02,135,8.2
2023-03,135,32.3
2023-04,135,43.9
2023-05,135,144.8
2023-06,135,254.9
2023-07,135,390.3
2023-08,135,288
2023-09,135,199.8
2023-10,135,12.2
2023-11,135,36.6
2023-12,135,117.1
2024-01,135,42.5
2024-02,135,100
2024-03,135,65.6
2024-04,135,49.3
2024-05,135,78.5
2024-06,135,95.4
2024-07,135,443.6
2024-08,135,20.6
2024-09,135,221.3
2024-10,135,74.9
2024-11,135,31.2
2024-12,135,8.6
