강수분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 부여
기간 : 1995~2024 01~12

년월,지점,강수량(mm)
2020-01,236,79.6
2020-02,236,92.4
2020-03,236,19.3
2020-04,236,17.7
2020-05,236,108.5
2020-06,236,188.4
2020-07,236,492.6
2020-08,236,367.8
2020-09,236,208.9
2020-10,236,4.4
2020-11,236,41.8
2020-12,236,3.4
2021-01,236,32.1
2021-02,236,18.1
2021-03,236,95.7
2021-04,236,42.3
2021-05,236,136.9
2021-06,236,76.9
2021-07,236,187.7
2021-08,236,227.6
2021-09,236,187.1
2021-10,236,36.9
2021-11,236,73.4
2021-12,236,8.7
2022-01,236,3.5
2022-02,236,2.5
2022-03,236,76.1
2022-04,236,62.6
2022-05,236,4
2022-06,236,123.4
2022-07,236,168.5
2022-08,236,615.6
2022-09,236,87
2022-10,236,103.7
2022-11,236,36.4
2022-12,236,17.8
2023-01,236,35.7
2023-02,236,4.3
2023-03,236,13.2
2023-04,236,60.6
2023-05,236,248.1
2023-06,236,122.2
2023-07,236,880.3
2023-08,236,300.6
2023-09,236,303
2023-10,236,16.7
2023-11,236,58.1
2023-12,236,122.2
2024-01,236,43.9
2024-02,236,135.8
2024-03,236,49.8
2024-04,236,58.7
2024-05,236,134
2024-06,236,91.2
2024-07,236,470.8
2024-08,236,40.8
2024-09,236,162.6
2024-10,236,84.5
2024-11,236,46
2024-12,236,16.1
