강수분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 서산
기간 : 1994~2023 01~12

년월,지점,강수량(mm)
2018-03,129,76.6
2018-04,129,132.8
2018-05,129,147.7
2018-06,129,162.3
2018-07,129,152.9
2018-08,129,156.8
2018-09,129,82.7
2018-10,129,153.2
2018-11,129,73.9
2018-12,129,26.8
2019-01,129,1.1
2019-02,129,30.2
2019-03,129,43.7
2019-04,129,43.9
2019-05,129,20.1
2019-06,129,56.3
2019-07,129,174.5
2019-08,129,121.1
2019-09,129,181.1
2019-10,129,81
2019-11,129,124.6
2019-12,129,37.4
2020-01,129,46
2020-02,129,72.3
2020-03,129,23
2020-04,129,20.7
2020-05,129,101.3
2020-06,129,144
2020-07,129,329.4
2020-08,129,400
2020-09,129,257.7
2020-10,129,12.6
2020-11,129,72
2020-12,129,9.7
2021-01,129,25.3
2021-02,129,9.6
2021-03,129,112.8
2021-04,129,110.6
2021-05,129,132.3
2021-06,129,70.9
2021-07,129,121.6
2021-08,129,217.8
2021-09,129,206
2021-10,129,55.9
2021-11,129,126.2
2021-12,129,18.3
2022-01,129,8.6
2022-02,129,4.7
2022-03,129,72.1
2022-04,129,52.2
2022-05,129,2.9
2022-06,129,352.4
2022-07,129,178.4
2022-08,129,468.7
2022-09,129,165.9
2022-10,129,160
2022-11,129,72.9
2022-12,129,31.9
2023-01,129,30.5
2023-02,129,0.1
2023-03,129,6.4
2023-04,129,54.6
2023-05,129,132.9
2023-06,129,138.1
2023-07,129,507
2023-08,129,225
2023-09,129,166.1
2023-10,129,39.6
2023-11,129,122.9
2023-12,129,103.5
