강수분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 충주
기간 : 1994~2023 01~12

년월,지점,강수량(mm)
2018-05,127,180
2018-06,127,63.7
2018-07,127,149.1
2018-08,127,353.3
2018-09,127,184.9
2018-10,127,96
2018-11,127,50
2018-12,127,39
2019-01,127,4.1
2019-02,127,29
2019-03,127,27.9
2019-04,127,58.5
2019-05,127,15.4
2019-06,127,59.6
2019-07,127,161.4
2019-08,127,102.6
2019-09,127,165.9
2019-10,127,59
2019-11,127,84.6
2019-12,127,27.5
2020-01,127,60.2
2020-02,127,61.9
2020-03,127,20.7
2020-04,127,25.9
2020-05,127,109.7
2020-06,127,112.1
2020-07,127,352.2
2020-08,127,505.6
2020-09,127,146.4
2020-10,127,10.7
2020-11,127,30
2020-12,127,11.1
2021-01,127,13.6
2021-02,127,12.3
2021-03,127,80.5
2021-04,127,63.4
2021-05,127,178.4
2021-06,127,130.4
2021-07,127,310.7
2021-08,127,239.9
2021-09,127,240.3
2021-10,127,45.5
2021-11,127,44.9
2021-12,127,5.6
2022-01,127,2
2022-02,127,4.3
2022-03,127,79.9
2022-04,127,45.8
2022-05,127,8.6
2022-06,127,219
2022-07,127,350.5
2022-08,127,457.3
2022-09,127,102
2022-10,127,96.5
2022-11,127,79.5
2022-12,127,18.8
2023-01,127,23
2023-02,127,3.3
2023-03,127,16.7
2023-04,127,32.1
2023-05,127,123.8
2023-06,127,239.6
2023-07,127,554.2
2023-08,127,248
2023-09,127,242.5
2023-10,127,31.3
2023-11,127,50.8
2023-12,127,89.9
