강수분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 보령
기간 : 1993~2022 01~12

년월,지점,강수량(mm)
2017-12,235,38.6
2018-01,235,15
2018-02,235,33.6
2018-03,235,92
2018-04,235,128.1
2018-05,235,104.5
2018-06,235,71
2018-07,235,262.7
2018-08,235,239.6
2018-09,235,158.2
2018-10,235,154.7
2018-11,235,46.7
2018-12,235,31.1
2019-01,235,1.9
2019-02,235,17.8
2019-03,235,18.2
2019-04,235,71.9
2019-05,235,31.3
2019-06,235,56
2019-07,235,149
2019-08,235,131.3
2019-09,235,118.7
2019-10,235,63.9
2019-11,235,130.6
2019-12,235,31.3
2020-01,235,49.4
2020-02,235,75.3
2020-03,235,22.8
2020-04,235,16.5
2020-05,235,92.4
2020-06,235,139.7
2020-07,235,345.9
2020-08,235,321.5
2020-09,235,177.1
2020-10,235,16.2
2020-11,235,35.4
2020-12,235,9.7
2021-01,235,32
2021-02,235,18.7
2021-03,235,76.1
2021-04,235,43.4
2021-05,235,110
2021-06,235,55
2021-07,235,131.3
2021-08,235,253.7
2021-09,235,215.9
2021-10,235,39.6
2021-11,235,117.8
2021-12,235,14.4
2022-01,235,8.4
2022-02,235,5.3
2022-03,235,60.9
2022-04,235,34.8
2022-05,235,5.7
2022-06,235,225
2022-07,235,119.9
2022-08,235,637.1
2022-09,235,102
2022-10,235,112
2022-11,235,23.3
2022-12,235,14
